item_id,raw_asin,count
24435,B0068VM5T4,37
16930,B004D1GZ2E,35
15942,B0026P3G12,28
18178,B009IRVSVQ,22
1996,B0000025BA,22
11385,B0000CD5FR,20
17012,B004K4AUZW,20
15260,B0017ZB8M6,20
17967,B008K9SG9K,19
16010,B002ALTAN0,18
875,B000000XB8,18
18409,B00BIVN82M,18
19247,B0002TOZ1E,18
15875,B001VPJZ40,18
14392,B000N2G3RY,17
18800,B00ENSHA62,17
3482,B000002KGT,16
1217,B000001DZO,16
19472,B0008EOEPK,16
17964,B008J34466,16
15779,B001QITO1Q,16
18474,B00C061HZY,16
6122,B0000062XS,15
652,B000000IRB,15
26505,B00C8YITKO,15
17661,B0074MZSPO,15
17368,B005H0IW6W,15
2256,B0000026NF,14
4448,B000002UAX,14
8816,B00004ZAV3,14
16202,B002M27QQK,14
6939,B00000D9TQ,14
15590,B001G93Z5Q,14
16786,B003ZJ0ZX0,14
2966,B000002H22,13
4450,B000002UB2,13
18840,B00F0O8SZK,13
4447,B000002UAT,13
20205,B000O32MLI,13
16181,B002L430KK,13
17994,B008NW67E0,13
19140,B00012O12A,13
10015,B00005YW4H,12
11800,B0001XANAS,12
13288,B000BGR18W,12
3984,B000002O2B,12
653,B000000IRG,12
885,B000000XDJ,12
19378,B0007CKMA4,12
8028,B00002MZ41,12
7159,B00000FC5H,12
17356,B005G618JU,12
15390,B001BM67QW,12
2589,B000002AGN,12
18249,B00A9T1HUO,12
21967,B002RADHJC,12
25169,B0083GNLDG,12
8800,B00004Z3AV,12
18448,B00BTHWFBK,12
17144,B004UB2WAQ,12
13578,B000ELIV4C,12
23959,B005CSNTJY,12
18393,B00BEJ5O6Q,12
18077,B00908DDZM,12
17726,B007HO392S,11
8692,B00004XQ83,11
12241,B0002XVSRE,11
8983,B000056CCH,11
2201,B00000269M,11
10535,B00006JL1Z,11
10633,B00006RAKP,11
12957,B0009XNUK0,11
15,0790729350,11
18768,B00EDY5KTA,11
15909,B0023GAJ14,11
14461,B000NVIXDW,11
20938,B0018OM1TU,11
4497,B000002UJQ,11
18063,B008XNZMOU,11
6172,B000006AKD,11
2578,B000002ADT,11
18639,B00DGGIXS6,11
16470,B0037KMHRY,11
20013,B000J26CWE,11
16113,B002HFP0QA,11
19170,B0001ZNZJM,11
17234,B0052GACNM,11
18051,B008VF0XY4,11
18164,B009G7ZYPY,11
20063,B000KGOHLM,11
15283,B0018OASZE,11
23406,B004ORV2S4,10
13956,B000H305U0,10
14183,B000JBXLOM,10
15384,B001BCCPYK,10
13,078881172X,10
15722,B001O0EQ5U,10
710,B000000OF6,10
11361,B0000CABJ1,10
11613,B00018D44U,10
12106,B0002OERI0,10
12319,B00063EMJ6,10
13235,B000B8QEZG,10
12,0788806270,10
19106,B0000C321X,10
15528,B001EYGOEM,10
15606,B001GO09MI,10
15770,B001QCJNNQ,10
3367,B000002JS6,10
15469,B001DFHU22,10
2923,B000002GVS,10
7326,B00000I8KE,10
15295,B00190KZ4G,10
18140,B009AZZ6H8,10
15019,B0010VD7EO,10
1967,B000002572,10
18139,B009AWREEO,10
19451,B0007YXTOS,10
12755,B00092ZMDY,10
19087,B0000ANHST,10
20032,B000J6ZYL0,10
14808,B000V6Z0XA,10
15879,B001VRDRJM,10
17666,B0075MFS9Y,10
18357,B00B89WXYS,10
18792,B00EMAGCJM,10
19447,B0007YR8WW,10
15239,B0017OLUUC,9
10552,B00006JSS8,9
4077,B000002OPL,9
3784,B000002LRR,9
3934,B000002NBY,9
5930,B000005J56,9
5185,B000003BDI,9
4110,B000002OX7,9
10301,B000068ZVQ,9
10748,B00007KWHG,9
10963,B00008V5SD,9
11479,B0000DZ3E2,9
4793,B000002WT6,9
9967,B00005Y1XY,9
20072,B000KK0OLA,9
20404,B000T9VK56,9
12344,B00064ADRK,9
2103,B0000025RI,9
4445,B000002UAN,9
15568,B001G0LBXS,9
668,B000000IUK,9
18192,B009NPA3MS,9
15669,B001L2I27O,9
16226,B002MWXV4G,9
17492,B005URRCNQ,9
26823,B00E3K9MGQ,9
4464,B000002UCQ,9
26765,B00DSEMUOY,9
13451,B000DN6ZGC,9
22209,B0034G65V0,9
1575,B000001FZ6,9
21927,B002PHLVJA,9
15742,B001PB3RU8,9
20700,B0011D2FL2,9
17702,B007DIQAXI,9
15398,B001BT1SKK,9
19248,B0002TOZ1Y,9
18093,B0091LRZX4,9
17827,B007WFR0QS,9
16733,B003WTE886,9
14513,B000OZ2CZW,9
17933,B008ELUEQC,9
16566,B003GAMPWM,9
18384,B00BCZU8WM,9
14801,B000UZ4P5Q,9
18756,B00EBJ65MS,9
15318,B0019FAM62,9
18703,B00DW7IVZY,9
18784,B00EJU8ZIG,9
16244,B002NJ8X9G,8
4071,B000002OO0,8
1894,B0000024YL,8
4141,B000002P5U,8
2711,B000002BK9,8
952,B000000YG5,8
4363,B000002TSS,8
8200,B0000479AV,8
12442,B0006L16N8,8
13182,B000B0WOEO,8
13284,B000BGR0OM,8
12551,B0007GAERG,8
22687,B003V4AKH0,8
19579,B000AM9W5W,8
3380,B000002JUC,8
16050,B002DKGWUM,8
2791,B000002G3Y,8
3699,B000002LFZ,8
701,B000000OBP,8
1454,B000001FDV,8
20256,B000P50VWM,8
2173,B00000264Y,8
8459,B00004T9TV,8
15118,B0013L5M08,8
9319,B00005JGA4,8
2922,B000002GVO,8
15826,B001TRDPB4,8
19449,B0007YVP1W,8
13587,B000ENWKMY,8
23317,B004L7J7IO,8
24164,B005LERHD8,8
15452,B001D0T4HG,8
15807,B001SMC91M,8
16003,B002A4Q61Q,8
18118,B0096PAA6E,8
3248,B000002J0L,8
1945,B00000254C,8
10265,B00006879E,8
15609,B001GQ2TGA,8
24814,B00791R1MI,8
26576,B00CJI5D3A,8
3492,B000002KHH,8
21233,B001IB70JY,8
