item_id,raw_asin,count
24435,B0068VM5T4,37
16930,B004D1GZ2E,35
15942,B0026P3G12,28
18178,B009IRVSVQ,22
1996,B0000025BA,22
11385,B0000CD5FR,20
17012,B004K4AUZW,20
15260,B0017ZB8M6,20
17967,B008K9SG9K,19
16010,B002ALTAN0,18
875,B000000XB8,18
18409,B00BIVN82M,18
19247,B0002TOZ1E,18
15875,B001VPJZ40,18
14392,B000N2G3RY,17
18800,B00ENSHA62,17
3482,B000002KGT,16
1217,B000001DZO,16
19472,B0008EOEPK,16
17964,B008J34466,16
15779,B001QITO1Q,16
18474,B00C061HZY,16
6122,B0000062XS,15
652,B000000IRB,15
26505,B00C8YITKO,15
17661,B0074MZSPO,15
17368,B005H0IW6W,15
2256,B0000026NF,14
4448,B000002UAX,14
8816,B00004ZAV3,14
16202,B002M27QQK,14
6939,B00000D9TQ,14
15590,B001G93Z5Q,14
16786,B003ZJ0ZX0,14
2966,B000002H22,13
4450,B000002UB2,13
18840,B00F0O8SZK,13
4447,B000002UAT,13
20205,B000O32MLI,13
16181,B002L430KK,13
17994,B008NW67E0,13
19140,B00012O12A,13
10015,B00005YW4H,12
11800,B0001XANAS,12
13288,B000BGR18W,12
3984,B000002O2B,12
653,B000000IRG,12
885,B000000XDJ,12
19378,B0007CKMA4,12
8028,B00002MZ41,12
