item_id,raw_asin,count
41423,B005M8HPPS,107
30069,B00004OCO9,106
31028,B00006JSUA,78
43617,B00DUHACEE,75
26909,B004D1GZ2E,64
41664,B00608YG7E,62
25426,B002ALTAN0,53
41407,B005LCT5I0,52
41770,B006C9TPKO,51
24379,B001BCCPYK,49
25216,B001VPJZ40,48
30350,B00004SPEU,44
31474,B0000CFMZN,43
41220,B005F2H1G4,43
25588,B002HQWQB6,43
43828,B00FMJDJ5C,43
25052,B001QITO1Q,42
37188,B001N07KUE,42
32611,B0006HUYGM,41
30988,B00006IUWA,40
30630,B00005IBX9,40
30828,B00005UP2K,40
965,B000000IRB,40
25319,B0026P3G12,39
24140,B0017OLUUC,38
44119,B00IY0J536,38
38396,B002S52ZDU,37
42122,B007M6GM1Q,37
41383,B005JAIHNI,36
24513,B001D0T4HG,36
24127,B0017I1FRQ,36
24334,B001ATO9EI,36
6044,B000002UB2,35
31230,B00009R66F,35
12904,B00004ZAV3,34
14917,B00005YW4H,34
24550,B001DFHU22,34
30717,B00005MF9C,34
2818,B0000025BA,33
38625,B002YD99Y4,33
24138,B0017LU074,33
27044,B004K4AUZW,32
33468,B000DLB2FI,32
40798,B004Y3I0MO,32
30612,B00005B8K5,32
29988,B00000JGRT,31
21074,B000ELIV4C,31
24268,B0019FAM62,31
43515,B00CZA0LPM,31
22557,B000N2G3RY,30
25272,B0023GAJ14,30
39925,B004412GTO,30
24236,B00190KZ4G,30
43395,B00CG4IX52,30
30243,B00004S7V8,30
30352,B00004SPZV,29
42992,B00A2KD8HA,29
37353,B001T4ZAX8,29
41797,B006HCWRLK,29
35059,B000QFDNP8,29
25339,B0027BOL0A,28
1806,B000001DZO,28
3552,B000002ADT,28
24766,B001G93Z5Q,28
43461,B00COCD6TO,28
36769,B001DXVL6K,28
41917,B006ZW65MO,28
25285,B0025X4OWA,28
44236,B00KM9W2PU,28
26254,B003CIG7AE,27
6041,B000002UAT,27
1343,B000000XB8,27
25517,B002EZLQ0M,27
25102,B001SMC91M,27
24389,B001BM67QW,27
24910,B001MDH5ES,27
43469,B00CP41T8G,27
43605,B00DSIFEUW,27
30030,B00004OCKR,26
11578,B00002MZ41,26
33540,B000EGA6QI,26
32521,B00065L6CU,26
30357,B00004SU18,26
42738,B0091YYUAM,26
38303,B002PY7AYS,26
40446,B004MKN4ZW,26
42146,B007OTF8O8,26
39212,B003IT64A0,26
43517,B00CZA2150,26
35373,B000TKDQ5C,26
40589,B004R963K6,26
18759,B0002XVSRE,25
42963,B009XP92Z2,25
30101,B00004R93Z,25
25483,B002DKGWUM,25
25003,B001PCJFXK,25
43084,B00ARR4SRC,25
41935,B0071NI8XK,25
23925,B0013KJAQ6,25
27638,B005H0IW6W,25
44076,B00IFRZVQI,25
30364,B00004SU35,25
42546,B008HPSP5M,25
23366,B000UZ4P5Q,25
43255,B00BLDWYPO,25
41916,B006ZREDAU,25
31365,B0000CCY1C,25
42993,B00A2KD8IY,24
39529,B003VFRBYO,24
23744,B0010VD7EO,24
19269,B0007GAEGC,24
21286,B000F7MG4G,24
17268,B0000CD5FR,24
20463,B000B8QEZG,24
24882,B001L2I27O,24
24411,B001BT1SKK,24
43877,B00G3BS6LK,24
32791,B0007VO0CQ,24
34581,B000M8YMEU,24
43892,B00GCE257E,24
43225,B00BF9Q1OE,24
44154,B00JCEGB0I,24
25437,B002BE7JFW,23
37245,B001PB8EJ2,23
1363,B000000XDJ,23
25034,B001Q8FSAC,23
22,0790729350,23
15976,B00006RAKP,23
23411,B000VALY4A,23
23301,B000UMQDHC,23
39545,B003VPW0V8,23
39487,B003UDEKDM,23
25213,B001VLBDEY,23
31140,B00008T960,23
40719,B004VLTDKM,23
30813,B00005RKOE,23
34606,B000MDHH06,23
43450,B00CMCZDBA,23
12667,B00004XQ83,22
31358,B0000CBJJL,22
39651,B003Y3AA2S,22
24033,B0015I2P0Y,22
2757,B00000254C,22
17673,B00018D44U,22
23917,B0013FYT9Y,22
23385,B000V8I2QU,22
37149,B001L5TVGW,22
32479,B000638D32,22
43897,B00GEGHNZE,22
44183,B00JQMAEYK,22
44011,B00HLAOLBQ,22
22204,B000JBXLOM,21
34577,B000M3YGOQ,21
25043,B001QCJNNQ,21
30595,B00005AXJ9,21
23759,B00113R1I4,21
24090,B0016LT2LU,21
25164,B001UDY250,21
982,B000000IUK,21
42287,B007ZDSR6Y,21
42231,B007UEA0CM,21
33116,B000AAM0EY,21
19648,B00092ZMDY,21
43429,B00CKKB86S,21
24243,B00192KCQ0,21
25220,B001VRDRJM,21
25257,B0020H46LK,21
33155,B000AQPMHA,21
25703,B002LHKJYW,21
42147,B007OTF9IS,21
43470,B00CP41TAY,21
36476,B001AO2PXK,21
41384,B005JAIHOM,21
44073,B00IEOV4WW,21
44107,B00IT5L49E,21
42392,B00876CQ8S,21
44050,B00I5NGFGW,21
43998,B00HEZ8A1U,21
25177,B001UJIMT6,20
3124,B0000026NF,20
20,078881172X,20
31367,B0000CCY1L,20
18926,B00064ADRK,20
19,0788806270,20
6042,B000002UAX,20
7412,B000003S09,20
966,B000000IRG,20
25684,B002L430KK,20
28582,B008NW67E0,20
43732,B00ESHDGOI,20
41965,B00752UUKQ,20
25178,B001UJIMTG,20
34720,B000N4WMUE,20
31399,B0000CF3Q6,20
29263,B00C061HZY,20
42169,B007POQ9EA,20
42632,B008Q2ES5C,20
23383,B000V6Z0XA,20
30047,B00004OCMM,19
41606,B005VEHQ1G,19
42028,B007C8FC9W,19
24968,B001O0EQ5U,19
16319,B000089RVX,19
316,B00000016W,19
19170,B00070Q7VO,19
22292,B000KCHZK6,19
987,B000000IVW,19
24779,B001GJ2ZP2,19
4459,B000002J09,19
3571,B000002AGN,19
30431,B00004W4UP,19
33971,B000GXZ2GS,19
35362,B000TETMVK,19
25306,B0026IZR7K,19
43340,B00C6A475Q,19
23482,B000VPNK4W,19
43178,B00B6LUAQG,19
41421,B005M8GFKY,19
25180,B001UJIMUU,19
28932,B00A9T1HUO,19
42994,B00A2KD8NY,19
43883,B00G5UB7ZG,19
43212,B00BDS2X2G,19
43997,B00HEZ888K,19
44244,B00KSRQN0Q,19
28837,B009IRVSVQ,18
41419,B005M79ZES,18
43814,B00FJ8PI3M,18
43676,B00ED3N3OA,18
20580,B000BISBDY,18
37139,B001KYT6CS,18
42507,B008FK9NIC,18
39165,B003GW873G,18
36540,B001B2SL48,18
25725,B002M27QQK,18
42233,B007UEA0I6,18
4756,B000002KGT,18
14604,B00005RGNI,18
8612,B000006AKD,18
39488,B003UDHOD0,18
43889,B00GBFVK3O,18
38598,B002XOHZWC,18
43964,B00H1QIJAO,18
30474,B00004Y2MX,18
32969,B0009ONZ8G,18
37307,B001R1Q2C6,18
30118,B00004RC6R,18
33960,B000GWG0T2,18
42160,B007P6SAZ4,18
43727,B00ESCL0KU,18
39855,B0042H5RBE,18
35576,B000VSBU3M,18
27261,B004UB2WAQ,18
43208,B00BC00RYG,18
42193,B007RKFCUY,18
31961,B00018RRRK,18
43978,B00H5F3GRW,18
24211,B0018OASZE,18
40281,B004GJ5G6O,18
32173,B00023XCWS,18
43865,B00FZH3WAS,18
44032,B00HYRP3WC,18
42637,B008QV9FZQ,17
9846,B00000D9TQ,17
33616,B000F3LF0G,17
30024,B00004OCK0,17
1770,B000001DTM,17
5379,B000002NHN,17
10186,B00000FC5H,17
20561,B000BGR18W,17
26693,B003ZJ0ZX0,17
23926,B0013L5M08,17
32672,B0006ZUHR0,17
6076,B000002UDB,17
21184,B000EXZ9P4,17
26154,B0037KMHRY,17
22781,B000P0J024,17
37166,B001LYFBHG,17
29606,B00EDY5KTA,17
4000,B000002GVS,17
13044,B000050XEI,17
5063,B000002LK1,17
25758,B002MWXV4G,17
4464,B000002J0L,17
38894,B0037ZA9RE,17
30383,B00004SZ7H,17
33156,B000AQSMPO,17
43129,B00AZBIZTW,17
28789,B009AWREEO,17
30728,B00005NCWQ,17
29231,B00BTHWFBK,17
38484,B002UEZ2FC,17
28536,B008K9SG9K,17
24539,B001DD63UO,17
31511,B0000CFQJS,17
37989,B002HFDLCK,17
40566,B004QGXND0,17
39530,B003VFWWWU,17
28819,B009G7ZYPY,17
34434,B000KDVTJI,17
43286,B00BSDP78I,17
3630,B000002AV5,16
23752,B00110K5YO,16
40149,B004BR3SR0,16
16644,B000093BDX,16
19484,B0007WF1WS,16
20869,B000DN6ZGC,16
23448,B000VI70V8,16
39886,B0043073YO,16
6038,B000002UAL,16
21790,B000H0MKGK,16
6039,B000002UAN,16
6040,B000002UAR,16
4474,B000002J1E,16
30004,B00004OCIP,16
15991,B00006RU5B,16
25201,B001V7UXB2,16
15406,B000069AUI,16
15729,B00006IR69,16
19087,B0006L16N8,16
18526,B0002OERI0,16
19062,B0006FMBWY,16
25415,B002A4Q61Q,16
31289,B0000AR7SY,16
38302,B002PY7AYI,16
42411,B0088LR592,16
44184,B00JR39AUM,16
44207,B00K7P0D9G,16
24269,B0019FE6UK,16
35131,B000R4J8PC,16
27419,B0052GACNM,16
29629,B00EJU8ZIG,16
24946,B001NH4COE,16
40312,B004H3G63G,16
27783,B005QJZ5FA,16
28527,B008J34466,16
32286,B0002IES80,16
40490,B004NSU7JE,16
33978,B000GZA38I,16
30993,B00006IUWM,16
30327,B00004SGFH,16
31278,B0000AP7NV,16
43135,B00AZSZYK8,16
27654,B005HPY8LU,16
30215,B00004S1CY,16
41713,B0064OM21G,16
43449,B00CMCZD6K,16
42814,B009ANCUCO,16
29670,B00EUS9IBU,16
43583,B00DLJ1U92,16
43447,B00CM4PZQG,16
42232,B007UEA0D6,16
43294,B00BTIUYOO,16
32779,B0007SXBUQ,16
41793,B006H01IX0,16
36553,B001BBU7G4,15
23860,B0012OVF2U,15
23091,B000SKO0OY,15
43698,B00EJQQRH6,15
23938,B0013ND334,15
6975,B000003BDI,15
43068,B00APKQSNS,15
17321,B0000CFW87,15
24312,B001AI93YA,15
19274,B0007GAERG,15
18370,B0002F7I9Y,15
30848,B0000632QE,15
6064,B000002UCQ,15
21861,B000HBKCDC,15
21634,B000GFLAI0,15
24793,B001GO09MI,15
