item_id,raw_asin,count
16194,B003ES5ZUU,413
27673,B007WTAJTO,315
16170,B003ELYQGG,285
30795,B009SYZ8OC,270
33930,B00DR0PDNE,253
25426,B006GWO5WK,230
14375,B002WE6D44,220
9051,B0019EHU8G,210
26286,B0074BW614,207
18302,B0041Q38NU,199
14262,B002V88HFE,184
7298,B000VX6XL6,177
32423,B00BGGDVOO,175
23458,B005FYNSPK,166
5700,B000LRMS66,161
2537,B0002L5R78,157
11808,B001XURP7W,155
23633,B005HMKKH4,152
3924,B000BQ7GW8,145
24921,B00622AG6S,145
6601,B000QUUFRW,144
13358,B002MAPRYU,137
28371,B0088CJT4U,135
8523,B0015DYMVO,132
38272,B000T9VK56,131
22317,B0052SCU8U,130
23081,B005CLPP84,129
47449,B0068VM5T4,128
29155,B008OHNZI0,124
25933,B006W8U2MU,122
11422,B001TH7GUU,122
6729,B000S5Q9CA,121
27375,B007R5YDYA,120
26584,B0079UAT0A,115
21012,B004QK7HI8,114
19789,B004G6002M,113
5420,B000JE7GPY,111
36050,B0001ZNZJM,110
23217,B005DOK8NW,109
11418,B001TH7GSW,106
26924,B007I5JT4S,105
5227,B000I68BD4,104
23201,B005DKZTMG,103
15526,B0038W0K2K,100
29972,B0097BEFYA,99
19838,B004GF8TIK,97
19825,B004GCJEZU,97
21355,B004T9RR6I,95
6545,B000Q8UAWY,95
8475,B0015AARJI,95
28012,B00829THK0,93
28061,B00834SJNA,93
14703,B00316263Y,93
28016,B00829TIEK,92
16748,B003LR7ME6,90
14481,B002Y6CJJ8,89
9678,B001E1Y5O6,88
28062,B00834SJSK,88
18707,B0044YU60M,86
13805,B002QEBMAK,86
11678,B001V9KG0I,85
18591,B0043T7FXE,84
34046,B00E055H5O,84
16753,B003LSTD38,84
28001,B00825BZUY,83
16928,B003NR57BY,83
21787,B004XC6GJ0,83
30530,B009LL9VDG,83
5098,B000HPV3RW,81
14373,B002WE4HE2,81
22373,B0053NBLFW,81
6009,B000N99BBC,80
21222,B004SBBD8U,80
14058,B002SZEOLG,79
5481,B000JMJWV2,78
2008,B0001FTVEK,77
19453,B004CLYEFK,76
328,B00004ZCJE,75
14956,B0034CL2ZI,75
16791,B003M0NURK,75
28015,B00829TIA4,75
35990,B00012O12A,75
8078,B0012S4APK,74
16192,B003ES5ZSW,73
4077,B000CKVOOY,72
27226,B007P4VOWC,72
17655,B003WUBIZQ,72
30589,B009NHWVIA,71
6637,B000R9AAJA,71
32078,B00B588HY2,71
14540,B002ZAVVHY,70
181,B00004T8R2,70
20150,B004I5BUSO,69
36174,B0002TOZ1E,68
31190,B00A3YN0Z0,68
